# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00002000   ---        --------
               6   N   00002000   0000e101   00002004   x10_a0     00000000
               7   N   00002004   00004e01   00002006   ---        --------
               8   N   00002006   00000297   00002008   x28_t3     00000000
               9   N   00002008   87828293   0000200c   x05_t0     00002008
              10   N   0000200c   30529073   00002010   x05_t0     00001880
              11   N   00002010   00004505   00002014   ---        --------
              12   N   00002014   0000057e   00002016   x10_a0     00000001
              13   N   00002016   00054863   00002018   x10_a0     80000000
              14   N   00002018   0ff0000f   00002028   ---        --------
              17   N   00002028   00028463   0000202c   x05_t0     00000000
              18   N   0000202c   10529073   00002034   ---        --------
              21   N   00002034   00006509   00002038   ---        --------
              22   N   00002038   00006509   00002038   ---        --------
              23   N   00002038   80050513   0000203a   x10_a0     00002000
              24   N   0000203a   65092073   0000203e   x10_a0     00001800
              26   N   0000203e   80050297   00002042   ---        --------
              27   N   00002042   00000297   00002042   ---        --------
              28   N   00002042   30058293   00002046   x05_t0     00002042
              30   N   00002046   00009073   0000204a   x05_t0     00002100
              32   N   0000204a   0be22573   0000204e   ---        --------
              34   N   0000204e   34120073   00002052   x10_a0     00000000
              37   N   00002052   00000013   00002100   ---        --------
              40   N   00002100   00000000   00002104   x28_t3     00000002
              41   E   00002104   00000000   00001880   mstatus    00001800
              41   E   00002104   00000000   00001880   mepc       00002104
              41   E   00002104   00000000   00001880   mcause     00000002
              41   E   00002104   00000000   00001880   mtval      00000000
              44   N   00001880   00004789   00001884   x14_a4     00000002
              45   N   00001884   02f71f63   00001886   x15_a5     00000002
              46   N   00001886   478902b7   0000188a   ---        --------
              48   N   0000188a   02f70313   0000188e   x05_t0     006c0000
              50   N   0000188e   006c8023   00001892   x06_t1     00000069
              53   N   00001892   06c00313   00001896   ---        --------
              54   N   00001896   00628023   0000189a   x06_t1     0000006c
              57   N   0000189a   00628023   0000189e   ---        --------
              59   N   0000189e   06500313   000018a2   ---        --------
              60   N   000018a2   00628023   000018a6   x06_t1     00000065
              63   N   000018a6   07800313   000018aa   ---        --------
              64   N   000018aa   00628023   000018ae   x06_t1     00000078
              67   N   000018ae   06300313   000018b2   ---        --------
              68   N   000018b2   00628023   000018b6   x06_t1     00000063
              71   N   000018b6   00004329   000018ba   ---        --------
              72   N   000018ba   00628023   000018bc   x06_t1     0000000a
              74   N   000018bc   00004501   000018c0   ---        --------
              75   N   000018c0   0000a035   000018c2   x10_a0     00000000
              76   N   000018c2   000047a1   000018ee   ---        --------
              80   N   000018ee   00000000   00002500   ---        --------
              83   N   00002500   bf428293   00002504   x05_t0     00000500
              84   N   00002504   00008282   00002508   x05_t0     000000f4
              85   N   00002508   00000013   000000f4   ---        --------
              88   N   000000f4   0000006f   000000f8   ---        --------
              89   N   000000f8   ffffffff   000000f8   ---        --------
